num	text	author
1	Change is inevitable. Progression is a choice.	Sonya Teclai
2	May your choices reflect your hopes not your fear.	Nelson Mandela
3	Never hope for it more than you work for it. 	Sonya Teclai
4	Happiness is the best revenge. Nothing drives people crazier than seeing someone have a good fucking life.	Chuck Palahnuik
5	Happiness comes of the capacity to feel deeply, to enjoy simply, to think freely, to risk life, to be needed.	Storm Jameson
6	If you want to achieve greatness stop asking for permission.	Anonymous
7	Things work out best for those who make the best of how things work out.	John Wooden
8	To live a creative life, we must lose our fear of being wrong.	Anonymous
9	If you are not willing to risk the usual you will have to settle for the ordinary.	Jim Rohn
10	Trust because you are willing to accept the risk, not because it’s safe or certain.	Anonymous
11	All our dreams can come true if we have the courage to pursue them.	Walt Disney
12	Good things come to people who wait, but better things come to those who go out and get them.	Anonymous
13	If you do what you always did, you will get what you always got.	Anonymous
14	Success is walking from failure to failure with no loss of enthusiasm.	Winston Churchill
15	Just when the caterpillar thought the world was ending, he turned into a butterfly.	Proverb
16	Successful entrepreneurs are givers and not takers of positive energy.	Anonymous
17	Whenever you see a successful person you only see the public glories, never the private sacrifices to reach them.	Vaibhav Shah
18	Opportunities don’t happen, you create them.	Chris Grosser
19	Try not to become a person of success, but rather try to become a person of value.	Albert Einstein
20	Great minds discuss ideas; average minds discuss events; small minds discuss people.	Eleanor Roosevelt
21	I have not failed. I’ve just found 10,000 ways that won’t work.	Thomas A.
22	If you don’t value your time, neither will others. Stop giving away your time and talents- start charging for it.	Kim Garst
23	A successful man is one who can lay a firm foundation with the bricks others have thrown at him.	David Brinkley
24	No one can make you feel inferior without your consent.	Eleanor Roosevelt
25	The whole secret of a successful life is to find out what is one’s destiny to do, and then do it.	Henry Ford
26	If you’re going through hell keep going.	Winston Churchill
27	The ones who are crazy enough to think they can change the world, are the ones that do.	Anonymous
28	Don’t raise your voice, improve your argument.	Anonymous
29	What seems to us as bitter trials are often blessings in disguise.	Oscar Wilde
30	The meaning of life is to find your gift. The purpose of life is to give it away.	Anonymous
31	The distance between insanity and genius is measured only by success.	Bruce Feirstein
32	When you stop chasing the wrong things you give the right things a chance to catch you.	Lolly Daskal
33	Don’t be afraid to give up the good to go for the great.	John D. Rockefeller
34	No masterpiece was ever created by a lazy artist.	Anonymous
35	Happiness is a butterfly, which when pursued, is always beyond your grasp, but which, if you will sit down quietly, may alight upon you.	Nathaniel Hawthorne
36	If you can’t explain it simply, you don’t understand it well enough.	Albert Einstein
37	Blessed are those who can give without remembering and take without forgetting.	Anonymous
38	Do one thing every day that scares you.	Anonymous
39	What’s the point of being alive if you don’t at least try to do something remarkable.	Anonymous
40	Life is not about finding yourself. Life is about creating yourself.	Lolly Daskal
41	Nothing in the world is more common than unsuccessful people with talent.	Anonymous
42	Knowledge is being aware of what you can do. Wisdom is knowing when not to do it.	Anonymous
43	Your problem isn’t the problem. Your reaction is the problem.	Anonymous
44	You can do anything, but not everything.	Anonymous
45	Innovation distinguishes between a leader and a follower.	Steve Jobs
46	There are two types of people who will tell you that you cannot make a difference in this world: those who are afraid to try and those who are afraid you will succeed.	Ray Goforth
47	Thinking should become your capital asset, no matter whatever ups and downs you come across in your life.	Dr. APJ Kalam
48	I find that the harder I work, the more luck I seem to have.	Thomas Jefferson
49	The starting point of all achievement is desire.	Napolean Hill
50	Success is the sum of small efforts, repeated day-in and day-out.	Robert Collier
51	If you want to achieve excellence, you can get there today. As of this second, quit doing less-than-excellent work.	Thomas J. Watson
52	All progress takes place outside the comfort zone.	Michael John Bobak
53	You may only succeed if you desire succeeding; you may only fail if you do not mind failing.	Philippos
54	Courage is resistance to fear, mastery of fear - not absense of fear.	Mark Twain
55	Only put off until tomorrow what you are willing to die having left undone.	Pablo Picasso
56	People often say that motivation doesn’t last. Well, neither does bathing - that’s why we recommend it daily.	Zig Ziglar
57	We become what we think about most of the time, and that’s the strangest secret.	Earl Nightingale
58	The only place where success comes before work is in the dictionary.	Vidal Sassoon
59	The best reason to start an organization is to make meaning; to create a product or service to make the world a better place.	Guy Kawasaki
60	I find that when you have a real interest in life and a curious life, that sleep is not the most important thing.	Martha Stewart
61	It’s not what you look at that matters, it’s what you see.	Anonymous
62	The road to success and the road to failure are almost exactly the same.	Colin R. Davis
63	The function of leadership is to produce more leaders, not more followers.	Ralph Nader
64	Success is liking yourself, liking what you do, and liking how you do it.	Maya Angelou
65	As we look ahead into the next century, leaders will be those who empower others.	Bill Gates
66	A real entrepreneur is somebody who has no safety net underneath them.	Henry Kravis
67	The first step toward success is taken when you refuse to be a captive of the environment in which you first find yourself.	Mark Caine
68	When I dare to be powerful - to use my strength in the service of my vision, then it becomes less and less important whether I am afraid.	Audre Lorde
69	Whenever you find yourself on the side of the majority, it is time to pause and reflect.	Mark Twain
70	The successful warrior is the average man, with laser-like focus.	Bruce Lee
71	Develop success from failures. Discouragement and failure are two of the surest stepping stones to success.	Dale Carnegie
72	If you don’t design your own life plan, chances are you’ll fall into someone else’s plan. And guess what they have planned for you? Not much.	Jim Rohn
73	If you genuinely want something, don’t wait for it — teach yourself to be impatient.	Gurbaksh Chahal
74	Don’t let the fear of losing be greater than the excitement of winning.	Robert Kiyosaki
75	If you want to make a permanent change, stop focusing on the size of your problems and start focusing on the size of you!	T. Harv Eker
76	Successful people do what unsuccessful people are not willing to doDon’t wish it were easier, wish you were better.	Jim Rohn
77	The number one reason people fail in life is because they listen to their friends, family, and neighbors.	Napoleon Hill
78	In my experience, there is only one motivation, and that is desire. No reasons or principle contain it or stand against it.	Jane Smiley
79	Success does not consist in never making mistakes but in never making the same one a second time.	George Bernard Shaw
80	I don’t want to get to the end of my life and find that I lived just the length of it. I want to have lived the width of it as well.	Diane Ackerman
81	You must expect great things of yourself before you can do them.	Michael Jordan
82	Motivation is what gets you started. Habit is what keeps you going.	Jim Ryun
83	People rarely succeed unless they have fun in what they are doing.	Dale Carnegie
84	There is no chance, no destiny, no fate, that can hinder or control the firm resolve of a determined soul.	Ella Wheeler Wilcox
85	Our greatest fear should not be of failure but of succeeding at things in life that don’t really matter.	Francis Chan
86	You’ve got to get up every morning with determination if you’re going to go to bed with satisfaction.	George Lorimer
87	To be successful you must accept all challenges that come your way. You can’t just accept the ones you like.	Mike Gafka
88	Success is...knowing your purpose in life, growing to reach your maximum potential, and sowing seeds that benefit others.	John C. Maxwell
89	Be miserable. Or motivate yourself. Whatever has to be done, it’s always your choice.	Wayne Dyer
90	To accomplish great things, we must not only act, but also dream, not only plan, but also believe.	Anatole France
91	Most of the important things in the world have been accomplished by people who have kept on trying when there seemed to be no help at all.	Dale Carnegie
92	You measure the size of the accomplishment by the obstacles you had to overcome to reach your goals.	Booker T. Washington
93	Real difficulties can be overcome; it is only the imaginary ones that are unconquerable.	Theodore N. Vail
94	It is better to fail in originality than to succeed in imitation.	Herman Melville
95	Fortune sides with him who dares.	Virgil
96	Little minds are tamed and subdued by misfortune; but great minds rise above it.	Washington Irving
97	Failure is the condiment that gives success its flavor.	Truman Capote
98	Don’t let what you cannot do interfere with what you can do.	John R. Wooden
99	You may have to fight a battle more than once to win it.	Margaret Thatcher
100	It's not the length of life but the depth of life.	Anonymous
